Area;Number;Designation;GroupID;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;Height (ft);Elevation (ft);Lighting;Type of obstacle;;;;
55N 13E;9256;N€SBYHOLM;;Y;552709;55,4525;132801;13,46694444;331;512;F R;Wind turbine;;;;
55N 13E;9257;N€SBYHOLM;;Y;552716;55,45444444;132750;13,46388889;331;509;F R;Wind turbine;;;;
55N 13E;9258;N€SBYHOLM;;Y;552723;55,45638889;132739;13,46083333;331;499;F R;Wind turbine;;;;
55N 13E;9419;LYBY;;Y;554923;55,82305556;133838;13,64388889;390;784;FLG R;Wind turbine;;;;
55N 13E;9420;LYBY;;Y;554929;55,82472222;133859;13,64972222;390;784;FLG R;Wind turbine;;;;
55N 13E;9422;EVER…D;;Y;553545;55,59583333;135628;13,94111111;328;574;F R;Wind turbine;;;;
55N 13E;9423;EVER…D;;Y;553535;55,59305556;135636;13,94333333;328;574;FLG R;Wind turbine;;;;
55N 13E;9506;NYGRDSHUS;;Y;554941;55,82805556;132612;13,43666667;390;712;F R;Wind turbine;;;;
55N 13E;9553;SKARHULT;;Y;554723;55,78972222;132150;13,36388889;390;581;F R;Wind turbine;;;;
55N 13E;9554;SKARHULT;;Y;554716;55,78777778;132156;13,36555556;390;587;F R;Wind turbine;;;;
55N 13E;9555;SKARHULT;;Y;554709;55,78583333;132203;13,3675;390;600;F R;Wind turbine;;;;
55N 13E;9556;SKARHULT;;Y;554702;55,78388889;132210;13,36944444;390;607;F R;Wind turbine;;;;
55N 13E;9597;€SPINGE;;Y;554706;55,785;132426;13,40722222;390;712;FLG R;Wind turbine;;;;
55N 13E;9598;€SPINGE;;Y;554705;55,78472222;132406;13,40166667;390;692;FLG R;Wind turbine;;;;
55N 13E;9599;€SPINGE;;Y;554718;55,78833333;132427;13,4075;390;725;FLG R;Wind turbine;;;;
55N 13E;9600;€SPINGE;;Y;554716;55,78777778;132408;13,40222222;390;699;FLG R;Wind turbine;;;;
55N 13E;9606;KUNGSHULT;;Y;555049;55,84694444;132856;13,48222222;456;751;F R;Wind turbine;;;;
55N 13E;9607;KUNGSHULT;;Y;555036;55,84333333;132903;13,48416667;456;741;F R;Wind turbine;;;;
55N 13E;9608;KUNGSHULT;;Y;555039;55,84416667;132836;13,47666667;456;722;F R;Wind turbine;;;;
55N 13E;9709;€SPER…D;;Y;553712;55,62;135534;13,92611111;390;679;FLG R;Wind turbine;;;;
55N 13E;9710;€SPER…D;;Y;553724;55,62333333;135524;13,92333333;390;709;FLG R;Wind turbine;;;;
55N 13E;9784;H…GSER…D;;Y;554819;55,80527778;133235;13,54305556;410;761;FLG R;Wind turbine;;;;
55N 13E;9788;H…GERSR…D;;Y;554825;55,80694444;133249;13,54694444;410;764;FLG R;Wind turbine;;;;
55N 13E;9804;H…NSINGE;;Y;552544;55,42888889;132351;13,3975;410;568;FLG R;Wind turbine;;;;
55N 13E;9805;H…NSINGE;;Y;552545;55,42916667;132412;13,40333333;410;561;FLG R;Wind turbine;;;;
55N 13E;9806;H…NSINGE;;Y;552546;55,42944444;132433;13,40916667;410;548;FLG R;Wind turbine;;;;
55N 13E;9840;ST. HERRESTAD;;Y;552911;55,48638889;135231;13,87527778;328;482;FLG R;Wind turbine;;;;
55N 13E;10009;MINNESBERG;;Y;552841;55,47805556;131139;13,19416667;390;571;FLG R;Wind turbine;;;;
55N 13E;10123;SVAL…V;;Y;555407;55,90194444;130851;13,1475;328;525;FLG R;Wind turbine;;;;
55N 13E;10124;SVAL…V;;Y;555413;55,90361111;130834;13,14277778;328;535;FLG R;Wind turbine;;;;
55N 13E;10147;MARIEHOLM;;Y;555231;55,87527778;130729;13,12472222;328;449;FLG R;Wind turbine;;;;
55N 13E;10255;TROLLEBERG;;Y;554202;55,70055556;130744;13,12888889;390;430;FLG R;Wind turbine;;;;
55N 13E;10256;TROLLEBERG;;Y;554203;55,70083333;130728;13,12444444;390;423;FLG R;Wind turbine;;;;
55N 13E;10257;TOMELILLA;;Y;553525;55,59027778;135931;13,99194444;390;659;FLG R;Wind turbine;;;;
55N 13E;10328;BOARP;;Y;554921;55,8225;134636;13,77666667;453;971;FLG R;Wind turbine;;;;
55N 13E;10329;BOARP;;Y;554911;55,81972222;134612;13,77;453;978;FLG R;Wind turbine;;;;
55N 13E;10330;BOARP;;Y;554905;55,81805556;134639;13,7775;453;974;FLG R;Wind turbine;;;;
55N 13E;10331;SVAL…V;;Y;555722;55,95611111;130253;13,04805556;410;656;FLG R;Wind turbine;;;;
55N 13E;10332;SVAL…V;;Y;555710;55,95277778;130302;13,05055556;410;653;FLG R;Wind turbine;;;;
55N 13E;10333;SVAL…V;;Y;555658;55,94944444;130311;13,05305556;410;653;FLG R;Wind turbine;;;;
55N 13E;10338;RBY;;Y;554930;55,825;133921;13,65583333;390;784;FLG R;Wind turbine;;;;
55N 13E;10423;K€VLINGE;;Y;554940;55,82777778;130744;13,12888889;410;515;FLG R;Wind turbine;;;;
55N 13E;10424;K€VLINGE;;Y;554934;55,82611111;130804;13,13444444;410;515;FLG R;Wind turbine;;;;
55N 13E;10425;K€VLINGE;;Y;554928;55,82444444;130824;13,14;410;518;FLG R;Wind turbine;;;;
55N 13E;10506;KLGERUP;;Y;553648;55,61333333;131602;13,26722222;417;469;FLG R;Wind turbine;;;;
55N 13E;10507;KLGERUP;;Y;553638;55,61055556;131614;13,27055556;417;456;FLG R;Wind turbine;;;;
