Area;Number;Designation;GroupID;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;Height (ft);Elevation (ft);Lighting;Type of obstacle
55N 13E;6884;NYGÅRDSHUS;;Y;555026;55,8405555556;132612;13,4366666667;394;692;F R;Wind turbine
55N 13E;8222;GETINGE;;Y;554515;55,7541666667;131727;13,2908333333;331;463;F R;Wind turbine
55N 13E;8223;GETINGE;;Y;554533;55,7591666667;131750;13,2972222222;331;463;F R;Wind turbine
55N 13E;8224;GETINGE;;Y;554543;55,7619444444;131804;13,3011111111;331;463;F R;Wind turbine
55N 13E;8321;VÄRLINGE;;Y;555319;55,8886111111;132318;13,3883333333;390;673;F R;Wind turbine
55N 13E;8322;VÄRLINGE;;Y;555316;55,8877777778;132334;13,3927777778;390;679;F R;Wind turbine
55N 13E;8734;PLATFORM FINO 2;;Y;550025;55,0069444444;130906;13,1516666667;340;340;F R;Tower, Platform
55N 13E;8830;MALMÖ;;Y;553734;55,6261111111;130227;13,0408333333;328;338;F R;Chimney
55N 13E;9003;LUND;;Y;554418;55,7383333333;131514;13,2538888889;331;584;F R;Wind turbine
55N 13E;9004;LUND;;Y;554424;55,74;131530;13,2583333333;331;581;F R;Wind turbine
55N 13E;9005;LUND;;Y;554429;55,7413888889;131545;13,2625;331;545;F R;Wind turbine
55N 13E;9183;MALMÖ;;Y;553756;55,6322222222;130042;13,0116666667;394;397;F R;Wind turbine
55N 13E;9255;NÄSBYHOLM;;Y;552703;55,4508333333;132813;13,4702777778;331;499;F R;Wind turbine
55N 13E;9256;NÄSBYHOLM;;Y;552709;55,4525;132801;13,4669444444;331;512;F R;Wind turbine
55N 13E;9257;NÄSBYHOLM;;Y;552716;55,4544444444;132750;13,4638888889;331;509;F R;Wind turbine
55N 13E;9258;NÄSBYHOLM;;Y;552723;55,4563888889;132739;13,4608333333;331;499;F R;Wind turbine
55N 13E;9419;LYBY;;Y;554923;55,8230555556;133838;13,6438888889;390;784;FLG R;Wind turbine
55N 13E;9420;LYBY;;Y;554929;55,8247222222;133859;13,6497222222;390;784;FLG R;Wind turbine
55N 13E;9422;EVERÖD;;Y;553545;55,5958333333;135628;13,9411111111;328;574;F R;Wind turbine
55N 13E;9423;EVERÖD;;Y;553535;55,5930555556;135636;13,9433333333;328;574;FLG R;Wind turbine
55N 13E;9506;NYGÅRDSHUS;;Y;554941;55,8280555556;132612;13,4366666667;390;712;F R;Wind turbine
55N 13E;9553;SKARHULT;;Y;554723;55,7897222222;132150;13,3638888889;390;581;F R;Wind turbine
55N 13E;9554;SKARHULT;;Y;554716;55,7877777778;132156;13,3655555556;390;587;F R;Wind turbine
55N 13E;9555;SKARHULT;;Y;554709;55,7858333333;132203;13,3675;390;600;F R;Wind turbine
55N 13E;9556;SKARHULT;;Y;554702;55,7838888889;132210;13,3694444444;390;607;F R;Wind turbine
55N 13E;9597;ÄSPINGE;;Y;554706;55,785;132426;13,4072222222;390;712;FLG R;Wind turbine
55N 13E;9598;ÄSPINGE;;Y;554705;55,7847222222;132406;13,4016666667;390;692;FLG R;Wind turbine
55N 13E;9599;ÄSPINGE;;Y;554718;55,7883333333;132427;13,4075;390;725;FLG R;Wind turbine
55N 13E;9600;ÄSPINGE;;Y;554716;55,7877777778;132408;13,4022222222;390;699;FLG R;Wind turbine
55N 13E;9606;KUNGSHULT;;Y;555049;55,8469444444;132856;13,4822222222;456;751;F R;Wind turbine
55N 13E;9607;KUNGSHULT;;Y;555036;55,8433333333;132903;13,4841666667;456;741;F R;Wind turbine
55N 13E;9608;KUNGSHULT;;Y;555039;55,8441666667;132836;13,4766666667;456;722;F R;Wind turbine
55N 13E;9709;ÄSPERÖD;;Y;553712;55,62;135534;13,9261111111;390;679;FLG R;Wind turbine
55N 13E;9710;ÄSPERÖD;;Y;553724;55,6233333333;135524;13,9233333333;390;709;FLG R;Wind turbine
55N 13E;9784;HÖGSERÖD;;Y;554819;55,8052777778;133235;13,5430555556;410;761;FLG R;Wind turbine
55N 13E;9788;HÖGERSRÖD;;Y;554825;55,8069444444;133249;13,5469444444;410;764;FLG R;Wind turbine
55N 13E;9804;HÖNSINGE;;Y;552544;55,4288888889;132351;13,3975;410;568;FLG R;Wind turbine
55N 13E;9805;HÖNSINGE;;Y;552545;55,4291666667;132412;13,4033333333;410;561;FLG R;Wind turbine
55N 13E;9806;HÖNSINGE;;Y;552546;55,4294444444;132433;13,4091666667;410;548;FLG R;Wind turbine
55N 13E;9840;ST. HERRESTAD;;Y;552911;55,4863888889;135231;13,8752777778;328;482;FLG R;Wind turbine
55N 13E;10009;MINNESBERG;;Y;552841;55,4780555556;131139;13,1941666667;390;571;FLG R;Wind turbine
55N 13E;10123;SVALÖV;;Y;555407;55,9019444444;130851;13,1475;328;525;FLG R;Wind turbine
55N 13E;10124;SVALÖV;;Y;555413;55,9036111111;130834;13,1427777778;328;535;FLG R;Wind turbine
55N 13E;10147;MARIEHOLM;;Y;555231;55,8752777778;130729;13,1247222222;328;449;FLG R;Wind turbine
55N 13E;10255;TROLLEBERG;;Y;554202;55,7005555556;130744;13,1288888889;390;430;FLG R;Wind turbine
55N 13E;10256;TROLLEBERG;;Y;554203;55,7008333333;130728;13,1244444444;390;423;FLG R;Wind turbine
55N 13E;10257;TOMELILLA;;Y;553525;55,5902777778;135931;13,9919444444;390;659;FLG R;Wind turbine
55N 13E;10328;BOARP;;Y;554921;55,8225;134636;13,7766666667;453;971;FLG R;Wind turbine
55N 13E;10329;BOARP;;Y;554911;55,8197222222;134612;13,77;453;978;FLG R;Wind turbine
55N 13E;10330;BOARP;;Y;554905;55,8180555556;134639;13,7775;453;974;FLG R;Wind turbine
55N 13E;10331;SVALÖV;;Y;555722;55,9561111111;130253;13,0480555556;410;656;FLG R;Wind turbine
55N 13E;10332;SVALÖV;;Y;555710;55,9527777778;130302;13,0505555556;410;653;FLG R;Wind turbine
55N 13E;10333;SVALÖV;;Y;555658;55,9494444444;130311;13,0530555556;410;653;FLG R;Wind turbine
55N 13E;10338;RÅBY;;Y;554930;55,825;133921;13,6558333333;390;784;FLG R;Wind turbine
55N 13E;10423;KÄVLINGE;;Y;554940;55,8277777778;130744;13,1288888889;410;515;FLG R;Wind turbine
55N 13E;10424;KÄVLINGE;;Y;554934;55,8261111111;130804;13,1344444444;410;515;FLG R;Wind turbine
55N 13E;10425;KÄVLINGE;;Y;554928;55,8244444444;130824;13,14;410;518;FLG R;Wind turbine
55N 13E;10506;KLÅGERUP;;Y;553648;55,6133333333;131602;13,2672222222;417;469;FLG R;Wind turbine
55N 13E;10507;KLÅGERUP;;Y;553638;55,6105555556;131614;13,2705555556;417;456;FLG R;Wind turbine
55N 13E;10508;KLÅGERUP;;Y;553628;55,6077777778;131625;13,2736111111;417;453;FLG R;Wind turbine
55N 13E;10509;RAMSÅSA;;Y;553428;55,5744444444;135334;13,8927777778;328;541;FLG R;Wind turbine
55N 13E;10510;KLÅGERUP;;Y;553644;55,6122222222;131429;13,2413888889;390;427;FLG R;Wind turbine
55N 13E;10586;SKABERSJÖ;;Y;553217;55,5380555556;131110;13,1861111111;410;564;FLG R;Wind turbine
55N 13E;10587;SKABERSJÖ;;Y;553223;55,5397222222;131132;13,1922222222;410;554;FLG R;Wind turbine
55N 13E;10588;SKABERSJÖ;;Y;553231;55,5419444444;131056;13,1822222222;410;558;FLG R;Wind turbine
55N 13E;10589;SKABERSJÖ;;Y;553124;55,5233333333;130919;13,1552777778;410;561;FLG R;Wind turbine
