Area	Number	Designation	Latitude	Longitude	Height (ft)	Elevation (ft)	Lighting	Type of obstacle				
55N 13E	6880	NYGÅRDSHUS	554950N	0132611E	394	715	F R	Wind turbine				
55N 13E	6881	NYGÅRDSHUS	554959N	0132611E	394	702	F R	Wind turbine				
55N 13E	6882	NYGÅRDSHUS	555008N	0132611E	394	692	F R	Wind turbine				
55N 13E	6883	NYGÅRDSHUS	555017N	0132612E	394	692	F R	Wind turbine				
55N 13E	6884	NYGÅRDSHUS	555026N	0132612E	394	692	F R	Wind turbine				
55N 13E	8222	GETINGE	554515N	0131727E	331	463	F R	Wind turbine				
55N 13E	8223	GETINGE	554533N	0131750E	331	463	F R	Wind turbine				
55N 13E	8224	GETINGE	554543N	0131804E	331	463	F R	Wind turbine				
55N 13E	8321	VÄRLINGE	555319N	0132318E	390	673	F R	Wind turbine				
55N 13E	8322	VÄRLINGE	555316N	0132334E	390	679	F R	Wind turbine				
55N 13E	8734	PLATFORM FINO 2	550025N	0130906E	340	340	F R	Tower, Platform				
55N 13E	8830	MALMÖ	553734N	0130227E	328	338	F R	Chimney				
55N 13E	9003	LUND	554418N	0131514E	331	584	F R	Wind turbine				
55N 13E	9004	LUND	554424N	0131530E	331	581	F R	Wind turbine				
55N 13E	9005	LUND	554429N	0131545E	331	545	F R	Wind turbine				
55N 13E	9183	MALMÖ	553756N	0130042E	394	397	F R	Wind turbine				
55N 13E	9255	NÄSBYHOLM	552703N	0132813E	331	499	F R	Wind turbine				
55N 13E	9256	NÄSBYHOLM	552709N	0132801E	331	512	F R	Wind turbine				
55N 13E	9257	NÄSBYHOLM	552716N	0132750E	331	509	F R	Wind turbine				
55N 13E	9258	NÄSBYHOLM	552723N	0132739E	331	499	F R	Wind turbine				
55N 13E	9419	LYBY	554923N	0133838E	390	784	FLG R	Wind turbine				
55N 13E	9420	LYBY	554929N	0133859E	390	784	FLG R	Wind turbine				
55N 13E	9422	EVERÖD	553545N	0135628E	328	574	F R	Wind turbine				
55N 13E	9423	EVERÖD	553535N	0135636E	328	574	FLG R	Wind turbine				
55N 13E	9506	NYGÅRDSHUS	554941N	0132612E	390	712	F R	Wind turbine				
55N 13E	9553	SKARHULT	554723N	0132150E	390	581	F R	Wind turbine				
55N 13E	9554	SKARHULT	554716N	0132156E	390	587	F R	Wind turbine				
55N 13E	9555	SKARHULT	554709N	0132203E	390	600	F R	Wind turbine				
55N 13E	9556	SKARHULT	554702N	0132210E	390	607	F R	Wind turbine				
55N 13E	9597	ÄSPINGE	554706N	0132426E	390	712	FLG R	Wind turbine				
55N 13E	9598	ÄSPINGE	554705N	0132406E	390	692	FLG R	Wind turbine				
55N 13E	9599	ÄSPINGE	554718N	0132427E	390	725	FLG R	Wind turbine				
55N 13E	9600	ÄSPINGE	554716N	0132408E	390	699	FLG R	Wind turbine				
55N 13E	9606	KUNGSHULT	555049N	0132856E	456	751	F R	Wind turbine				
55N 13E	9607	KUNGSHULT	555036N	0132903E	456	741	F R	Wind turbine				
55N 13E	9608	KUNGSHULT	555039N	0132836E	456	722	F R	Wind turbine				
55N 13E	9709	ÄSPERÖD	553712N	0135534E	390	679	FLG R	Wind turbine				
55N 13E	9710	ÄSPERÖD	553724N	0135524E	390	709	FLG R	Wind turbine				
55N 13E	9784	HÖGSERÖD	554819N	0133235E	410	761	FLG R	Wind turbine				
55N 13E	9788	HÖGERSRÖD	554825N	0133249E	410	764	FLG R	Wind turbine				
55N 13E	9804	HÖNSINGE	552544N	0132351E	410	568	FLG R	Wind turbine				
55N 13E	9805	HÖNSINGE	552545N	0132412E	410	561	FLG R	Wind turbine				
55N 13E	9806	HÖNSINGE	552546N	0132433E	410	548	FLG R	Wind turbine				
55N 13E	9840	ST. HERRESTAD	552911N	0135231E	328	482	FLG R	Wind turbine				
55N 13E	10009	MINNESBERG	552841N	0131139E	390	571	FLG R	Wind turbine				
55N 13E	10123	SVALÖV	555407N	0130851E	328	525	FLG R	Wind turbine				
55N 13E	10124	SVALÖV	555413N	0130834E	328	535	FLG R	Wind turbine				
55N 13E	10147	MARIEHOLM	555231N	0130729E	328	449	FLG R	Wind turbine				
55N 13E	10255	TROLLEBERG	554202N	0130744E	390	430	FLG R	Wind turbine				
55N 13E	10256	TROLLEBERG	554203N	0130728E	390	423	FLG R	Wind turbine				
55N 13E	10257	TOMELILLA	553525N	0135931E	390	659	FLG R	Wind turbine				
